ngecek act-nge-prefix cek
ngebel act-nge-prefix bel
ngebom act-nge-prefix bom
ngebon act-nge-prefix bon
ngebor act-nge-prefix bor
ngebuk act-nge-prefix buk
ngecas act-nge-prefix cas
ngecat act-nge-prefix cat
ngecor act-nge-prefix cor
ngedab act-nge-prefix dab
ngedep act-nge-prefix dep
ngedor act-nge-prefix dor
ngedot act-nge-prefix dot
ngedrel act-nge-prefix drel
ngedril act-nge-prefix dril
ngedrop act-nge-prefix drop
ngedub act-nge-prefix dub
ngedup act-nge-prefix dup
ngekir act-nge-prefix kir
ngekol act-nge-prefix kol
ngekop act-nge-prefix kop
ngelap act-nge-prefix lap
ngelas act-nge-prefix las
ngelem act-nge-prefix lem
ngepak act-nge-prefix pak
ngepas act-nge-prefix pas
ngepel act-nge-prefix pel
ngepres act-nge-prefix pres
ngerem act-nge-prefix rem
ngeset act-nge-prefix set
ngesir act-nge-prefix sir
ngesol act-nge-prefix sol
ngesom act-nge-prefix som
ngesun act-nge-prefix sun
ngetap act-nge-prefix tap
ngetem act-nge-prefix tem
ngetes act-nge-prefix tes
ngetik act-nge-prefix tik
ngetim act-nge-prefix tim
ngetip act-nge-prefix tip
ngetos act-nge-prefix tos
ngetrek act-nge-prefix trek
ngetum act-nge-prefix tum
